spp,date,TBOH,TWOH,TWKO,FLOH,SBOH,TWNAIO
AKEP,77-06,20.8219178082192,14.5205479452055,2.73972602739726,53.013698630137,7.3972602739726,1.50684931506849
AKEP,77-07,73.1818181818182,23.1818181818182,0,2.27272727272727,0,1.36363636363636
AKEP,77-08,82.078853046595,7.16845878136201,3.584229390681,3.584229390681,0,3.584229390681
AKEP,77-09,94.4862155388471,2.5062656641604,2.5062656641604,0,0.50125313283208,0
AKEP,77-10,95.6756756756757,2.7027027027027,0,1.62162162162162,0,0
AKEP,77-11,97.1052631578947,0.263157894736842,2.63157894736842,0,0,0
AKEP,77-12,90.4411764705882,8.97058823529412,0,0,0,0.588235294117647
AKEP,78-01,90.2612826603325,7.36342042755344,2.37529691211401,0,0,0
AKEP,78-02,75.6272401433692,13.2616487455197,4.77897252090801,0,1.6726403823178,4.6594982078853
AKEP,78-03,61.8200836820084,26.8828451882845,2.09205020920502,3.76569037656904,2.51046025104602,2.92887029288703
AKEP,78-04,46.0528855433314,16.406099208647,7.91353020652384,6.65894614939201,14.0899440262498,8.87859486585601
AKEP,78-05,54,11.3333333333333,10.8888888888889,11.3333333333333,3.55555555555556,8.88888888888889
AKEP,78-06,86.6744186046512,10,0,1,2.32558139534884,0
AKEP,78-07,28.6842105263158,58.5964912280702,7.01754385964912,0.964912280701754,3.50877192982456,1.2280701754386
AKEP,78-08,66.4179104477612,25.3731343283582,5.22388059701493,0,1.49253731343284,1.49253731343284
AKEP,78-09,66.6299559471366,30.2863436123348,3.08370044052863,0,0,0
AKEP,78-10,54.3426294820717,39.5219123505976,1.19521912350598,3.02788844621514,1.91235059760956,0
AKEP,78-11,41.9893697798026,47.3044798785118,4.32801822323462,6.07441154138193,0.303720577069096,0
AKEP,78-12,48.9473684210526,41.8421052631579,3.15789473684211,0.526315789473684,1.57894736842105,3.94736842105263
AKEP,79-01,47.1014492753623,47.463768115942,0,5.43478260869565,0,0
AKEP,79-02,32.0284697508897,51.9572953736655,16.0142348754448,0,0,0
AKEP,79-03,53.0631479736098,24.5051837888784,6.40904806786051,2.82752120640905,8.48256361922714,4.71253534401508
AKEP,79-04,47.085201793722,38.2286995515695,9.19282511210762,0,2.24215246636771,3.25112107623318
AKEP,79-05,72.952086553323,23.6476043276662,0,0.309119010819165,0,3.09119010819165
AKEP,79-07,65.0862068965517,23.0603448275862,9.69827586206897,0,0,2.1551724137931
AKEP,79-08,69.8795180722892,20.9453197405005,7.32159406858202,0,0,1.85356811862836
AKEP,79-09,55.2222222222222,37,2.22222222222222,0,3.33333333333333,2.22222222222222
AKEP,79-10,51.0697674418605,35.906976744186,5.58139534883721,0,4.27906976744186,3.16279069767442
AKEP,79-11,34.8381601362862,63.96933560477,0,0,1.19250425894378,0
AKEP,79-12,31.5352697095436,55.6016597510373,5.3941908713693,0,0,7.46887966804979
AKEP,80-01,40.530303030303,43.9393939393939,3.78787878787879,3.78787878787879,4.16666666666667,3.78787878787879
AKEP,80-02,17.3410404624277,59.5375722543353,12.4277456647399,4.91329479768786,2.89017341040462,2.89017341040462
AKEP,80-03,54.6745562130178,24.3195266272189,5.91715976331361,2.9585798816568,6.21301775147929,5.91715976331361
AKEP,80-04,30.6521739130435,44.3478260869565,0,8.47826086956522,3.47826086956522,13.0434782608696
AKEP,80-05,17.0588235294118,75.5882352941177,0,1.47058823529412,0,5.88235294117647
AKEP,80-06,55.1351351351351,39.3243243243243,2.7027027027027,2.83783783783784,0,0
AKEP,80-07,19.1780821917808,74.1682974559687,2.5440313111546,0,4.10958904109589,0
AKEP,80-08,29.973474801061,65.7824933687003,0,0,1.59151193633952,2.6525198938992
AKEP,80-09,63.6363636363636,32.0217096336499,2.71370420624152,0,1.62822252374491,0
