source,date,value,target
AKEP,77-05,0,BRKO
AKEP,77-05,0,BRNAIO
AKEP,77-05,0,BROH
AKEP,77-05,0,FLNAIO
AKEP,77-05,0,FLOH
AKEP,77-05,0,FRNAIO
AKEP,77-05,0,FROL
AKEP,77-05,0,OTOT
AKEP,77-05,0,SBKO
AKEP,77-05,0,SBNAIO
AKEP,77-05,0,SBOH
AKEP,77-05,0,TBOH
AKEP,77-05,0,TROH
AKEP,77-05,0,TWKO
AKEP,77-05,0,TWNAIO
AKEP,77-05,0,TWOH
AKEP,77-07,0,BRKO
AKEP,77-07,0,BRNAIO
AKEP,77-07,0,BROH
AKEP,77-07,0,FLNAIO
AKEP,77-07,0.0568181818181818,FLOH
AKEP,77-07,0,FRNAIO
AKEP,77-07,0,FROL
AKEP,77-07,0,OTOT
AKEP,77-07,0,SBKO
AKEP,77-07,0,SBNAIO
AKEP,77-07,0,SBOH
AKEP,77-07,1.82954545454545,TBOH
AKEP,77-07,0,TROH
AKEP,77-07,0,TWKO
AKEP,77-07,0.0340909090909091,TWNAIO
AKEP,77-07,0.579545454545455,TWOH
AKEP,77-08,0.02,BRKO
AKEP,77-08,0,BRNAIO
AKEP,77-08,0,BROH
AKEP,77-08,0,FLNAIO
AKEP,77-08,0.2,FLOH
AKEP,77-08,0,FRNAIO
AKEP,77-08,0,FROL
AKEP,77-08,0.4,OTOT
AKEP,77-08,0,SBKO
AKEP,77-08,0,SBNAIO
AKEP,77-08,0,SBOH
AKEP,77-08,4.58,TBOH
AKEP,77-08,0,TROH
AKEP,77-08,0.2,TWKO
AKEP,77-08,0.2,TWNAIO
AKEP,77-08,0.4,TWOH
AKEP,77-09,0,BRKO
AKEP,77-09,0,BRNAIO
AKEP,77-09,0,BROH
AKEP,77-09,0,FLNAIO
AKEP,77-09,0,FLOH
AKEP,77-09,0,FRNAIO
AKEP,77-09,0,FROL
AKEP,77-09,0,OTOT
AKEP,77-09,0,SBKO
