spp,date,mean
ANIA,77-03,29.5
ANIA,77-05,16
APAP,77-03,208
APAP,77-05,180
APAP,77-07,36.5
APAP,77-08,60
APAP,77-09,77.5
APAP,77-10,57.5
APAP,77-11,106.5
APAP,77-12,162.5
APAP,78-01,122
APAP,78-02,134
APAP,78-03,163
APAP,78-04,310
APAP,78-05,204.75
APAP,78-06,81.8333333333333
APAP,78-07,57.25
APAP,78-08,121.333333333333
APAP,78-09,77
APAP,78-10,166
APAP,78-11,184.75
APAP,78-12,235.5
APAP,79-01,139.2
APAP,79-02,118.714285714286
APAP,79-03,200
APAP,79-04,187.5
APAP,79-05,242
APAP,79-06,135
APAP,79-07,95
APAP,79-08,66.75
APAP,79-09,90.5
APAP,79-10,110.25
APAP,79-11,138
APAP,79-12,269.25
APAP,80-01,242.75
APAP,80-02,210.4
APAP,80-03,129
APAP,80-04,113.166666666667
APAP,80-05,178.5
APAP,80-06,86.4
APAP,80-07,30.5714285714286
APAP,80-08,104.333333333333
APAP,80-09,70.8
APAP,80-10,65
APAP,80-11,118.25
APAP,80-12,126
APAP,81-01,107.833333333333
APAP,81-02,199
APAP,81-03,137.666666666667
APAP,81-04,209
APAP,81-05,150.75
APAP,81-06,118.75
APAP,81-07,161.333333333333
APAP,81-08,92.25
APAP,81-09,135
APAP,81-10,183.333333333333
APAP,81-11,128
APAP,81-12,140.8
APAP,82-01,154.75
ELEP,77-03,58
ELEP,77-05,26
ELEP,77-07,22.5
ELEP,77-08,25
ELEP,77-09,27.5
ELEP,77-10,30
ELEP,77-11,23
ELEP,77-12,23
ELEP,78-01,17
ELEP,78-02,15.5
ELEP,78-03,18.3333333333333
ELEP,78-04,25
ELEP,78-05,17.5
ELEP,78-06,25
ELEP,78-07,36.75
ELEP,78-08,73
ELEP,78-09,37.3333333333333
ELEP,78-10,45.3333333333333
ELEP,78-11,31.75
ELEP,78-12,45
ELEP,79-01,23
ELEP,79-02,20.1428571428571
ELEP,79-03,29.5
ELEP,79-04,22.3333333333333
ELEP,79-05,24.6666666666667
ELEP,79-06,24.4285714285714
ELEP,79-07,47
ELEP,79-08,56.5
ELEP,79-09,54.25
ELEP,79-10,58.25
ELEP,79-11,35.4
ELEP,79-12,42.5
ELEP,80-01,35.25
ELEP,80-02,25
ELEP,80-03,15
ELEP,80-04,11.6666666666667
ELEP,80-05,25.25
ELEP,80-06,30.8
ELEP,80-07,23
ELEP,80-08,64.6666666666667
ELEP,80-09,46.8
ELEP,80-10,43
ELEP,80-11,28.75
ELEP,80-12,25.6666666666667
ELEP,81-01,24.8333333333333
ELEP,81-02,42.25
ELEP,81-03,20
ELEP,81-04,34.5
ELEP,81-05,24.75
ELEP,81-06,30.25
ELEP,81-07,41.3333333333333
ELEP,81-08,47.75
ELEP,81-09,48.6666666666667
ELEP,81-10,55.6666666666667
ELEP,81-11,24.2
ELEP,81-12,19.8
ELEP,82-01,24.5
IIWI,77-03,34
IIWI,77-05,62
IIWI,77-07,12
IIWI,77-08,8
IIWI,77-09,16
IIWI,77-10,22.5
IIWI,77-11,27
IIWI,77-12,36.5
IIWI,78-01,22
IIWI,78-02,33.5
IIWI,78-03,44.3333333333333
IIWI,78-04,80
IIWI,78-05,55.75
IIWI,78-06,34.5
IIWI,78-07,29.25
IIWI,78-08,45.3333333333333
IIWI,78-09,25.3333333333333
IIWI,78-10,48
IIWI,78-11,30
IIWI,78-12,42.5
IIWI,79-01,33.6
IIWI,79-02,26.7142857142857
IIWI,79-03,41.25
IIWI,79-04,36.3333333333333
